公開/特許番号,公開/登録日,発明の名称,出願番号,出願日,出願人,発明者,要約_課題,要約_解決手段,特許ステータス
特開2023-51977,令和5年4月11日,アマニタ毒素の誘導体及びそれらと細胞結合分子との共役体,特願2022-201500,令和4年12月16日,ハンジョウ  ディーエーシー  バイオテック  シーオー．，エルティディ．,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",新規なアマニタ毒素誘導体を提供する。,式（Ｉ）の化合物、又はそれらの薬学的に許容される塩、水和物、若しくは水和塩；又はこれらの化合物の多形結晶構造；又は光学異性体、ラセミ化合物、ジアステレオマー、若しくはエナンチオマーを提供する。式中、Ｑは細胞結合剤／分子（ＣＢＡ）、細胞結合剤と結合可能な官能基等である。 【特許請求の範囲】 【請求項１】 式（Ｉ）の化合物、又はそれらの薬学的に許容される塩、水和物、若しくは水和塩；又 はこれらの化合物の多形結晶構造；又は光学異性体、ラセミ化合物、ジアステレオマー、 若しくはエナンチオマー： 【化１】 式中、 【化２】 は芳香族（インドール）環の任意の炭素位置に連結する単結合を表し； 【化３】 は任意の単結合又は結合の不存在を表し； Ｒ１及びＲ２はそれぞれ独立して、Ｈ、ＯＨ、ＣＨ２ＯＨ、ＣＨ（ＯＨ）ＣＨ２ＯＨ、 ＣＨ（ＣＨ３）ＣＨ２ＯＨ、ＣＨ（ＯＨ）ＣＨ３、Ｃ１～Ｃ８アルキル、－ＯＲ１２（エ ーテル）、Ｃ２～Ｃ８アルケニル、アルキニル、ヘテロアルキル、－ＯＣＯＲ１２（エス テル）、－ＯＣ（＝Ｏ）ＯＲ１２（カーボネート）、－ＯＣ（＝Ｏ）ＮＨＲ１２（カルバ メート）；Ｃ３～Ｃ８アリール、複素環式、炭素環式、シクロアルキル、ヘテロシクロア ルキル、ヘテロアラルキル、アルキルカルボニルから選択され； Ｒ３及びＲ４はそれぞれ独立して、Ｈ、ＯＨ、－ＯＲ１２（エーテル）、－ＯＣＯＲ１ ２（エステル）、－ＯＣＯＣＨ３（アセテート）、－ＯＣＯＯＲ１２（カーボネート）、 －ＯＣ（＝Ｏ）ＮＨＲ１２（カルバメート）、－ＯＰ（Ｏ）（ＯＲ１２）（ＯＲ１２’） （ホスフェート）、ＯＰ（Ｏ）（ＮＨＲ１２）（ＮＨＲ１２’）（ホスファミド）、Ｏ－ ＳＯ３－、又はＯ－グリコシドから選択され； Ｒ５は、Ｈ、ＯＨ、ＮＨ２、ＮＨＯＨ、ＮＨＮＨ２、－ＯＲ１２、－ＮＨＲ１２、ＮＨ ＮＨＲ１２、－ＮＲ１２Ｒ１２’、Ｎ（Ｈ）（Ｒ１２）Ｒ１３ＣＯ（Ａａ）ｐ（アミノ酸 又はペプチド、Ａａはアミノ酸又はポリペプチドである、ｐは０～６を表す）から選択さ れ； Ｒ６は、Ｈ、ＯＨ、ＣＨ２ＯＨ、ＣＨ（ＯＨ）ＣＨ２ＯＨ、ＣＨ（ＣＨ２ＯＨ）２、Ｃ Ｈ（ＣＨ３）ＯＨ、ＣＨ２ＣＨ２ＯＨ、ＰｒＯＨ、ＢｕＯＨ、Ｃ１～Ｃ８アルキル、－Ｏ Ｒ１２（エーテル）、Ｃ２～Ｃ８アルケニル、アルキニル、ヘテロアルキル、－ＯＣＯＲ １２（エステル）；Ｃ３～Ｃ８アリール、複素環式、又は炭素環式であり； Ｒ７、Ｒ８、及びＲ９はそれぞれ独立して、Ｈ、ＯＨ、ＣＨ３、ＣＨ（ＣＨ３）２、Ｃ Ｈ（ＣＨ３）ＣＨ２ＣＨ３、ＣＨ２ＯＨ、ＣＨ（ＯＨ）ＣＨ２ＯＨ、ＣＨ２ＣＨ（ＯＨ） ＣＨ２ＯＨ、ＣＨ（ＣＨ２ＯＨ）２、ＣＨ２Ｃ（ＯＨ）（ＣＨ２ＯＨ）２、ＣＨ２Ｃ（Ｏ Ｈ）（ＣＨ３）（ＣＨ２ＯＨ）、ＣＨ２Ｃ（ＯＨ）（ＣＨ（ＣＨ３）２）（ＣＨ２ＯＨ） 、ＣＨ２ＣＨ２ＯＨ、ＰｒＯＨ、ＢｕＯＨ、ＣＨ２ＣＯＯＨ、ＣＨ２ＣＨ２ＣＯＯＨ、Ｃ Ｈ（ＯＨ）ＣＯＯＨ、ＣＨ２ＣＯＮＨ２、ＣＨ２ＣＨ２ＣＯＮＨ２、ＣＨ２ＣＨ２ＣＨ２ ＣＨ２ＮＨ２、ＣＨ２ＣＨ２ＣＨ２ＮＨＣ（＝ＮＨ）ＮＨ２、Ｃ１～Ｃ８アルキル、ＣＨ ２Ａｒ、ＣＨ２ＳＨ、ＣＨ２ＳＲ１２、ＣＨ２ＳＳＲ１２、ＣＨ２ＳＳＡｒ、ＣＨ２ＣＨ ２ＳＣＨ３、－ＯＲ１２（エーテル）、Ｃ２～Ｃ８アルケニル、アルキニル、ヘテロアル キル、－ＯＣＯＲ１２（エステル）；Ｃ３～Ｃ８アリール、複素環式、又は炭素環式であ り； Ｒ１０は、Ｈ、ＮＨ２、ＯＨ、ＳＨ、ＮＯ２、ハロゲン、－ＮＨＯＨ、－Ｎ３（アジド ）；－ＣＮ（シアノ）；Ｃ１～Ｃ８アルキル、Ｃ２～Ｃ８アルケニル、アルキニル、ヘテ ロアルキル；Ｃ３～Ｃ８アリール、複素環、又は炭素環；－ＯＲ１２（エーテル）、－Ｏ ＣＯＲ１２（エステル）、－ＯＣＯＣＨ３（アセテート）、－ＯＣ（Ｏ）ＯＲ１２（カー ボネート）、－ＯＣ（Ｏ）ＣＨ（Ｒ１２）ＮＨＡａ（Ａａはアミノ酸基である）、－ＮＲ １２Ｒ１２’（アミン）、－ＮＲ１２ＣＯＲ１２’（アミン）、－ＮＲ１２Ｒ１２’Ｒ１ ２’’（アミン）；－ＯＣＯＮＲ１２Ｒ１２’（カルバメート）；－ＮＲ１２（Ｃ＝ＮＨ ）Ｒ１２’Ｒ１２’’（グアニジニウム）；－ＮＲ１２ＣＯ（Ａａ）ｐ（アミノ酸又はペ プチド、Ａａはアミノ酸又はポリペプチドであり、ｐは０～６を表す。）；－ＮＲ１２（ ＣＯ）ＮＲ１２’Ｒ１２’’（尿素）；－ＯＣＳＮＨＲ１２（チオカルバメート）；－Ｓ Ｈ（チオール）；－ＳＲ１２（スルフィド）；－Ｓ（Ｏ）Ｒ１２（スルホキシド）；－Ｓ （Ｏ２）Ｒ１２（スルホン）；－ＳＯ３、ＨＳＯ３、ＨＳＯ２、又はＨＳＯ３－、ＳＯ３ ２－、若しくはＨＳＯ２－の塩（スルファイト）；ＯＳＯ３－；－Ｎ（Ｒ１２）ＳＯＯＲ １２’（スルホンアミド）；Ｈ２Ｓ２Ｏ５又はＳ２Ｏ５２－の塩（メタ重亜硫酸塩）；Ｐ Ｏ３ＳＨ３、ＰＯ２Ｓ２Ｈ２、ＰＯＳ３Ｈ２、ＰＳ４Ｈ２、又はＰＯ３Ｓ３－、ＰＯ２Ｓ ２３－、ＰＯＳ３３－、ＰＳ４３－、の塩（モノ－、ジ－、トリ－、及びテトラチオホス フェート）；（Ｒ１２Ｏ）２ＰＯＳＲ１２’（チオリン酸エステル）；ＨＳ２Ｏ３又はＳ ２Ｏ３２－の塩（チオ硫酸塩）；ＨＳ２Ｏ４又はＳ２Ｏ４２－の塩（亜ジチオン酸塩）； （Ｐ（＝Ｓ）（ＯＲ１２）（Ｓ）（ＯＨ））又はカチオンと共に形成された塩（ホスホロ ジチオエート）；－Ｎ（Ｒ１２）ＯＲ１２’（ヒドロキシルアミン誘導体）；Ｒ１２Ｃ（ ＝Ｏ）ＮＯＨ又はカチオンと共に形成された塩（ヒドロキサム酸）；ＨＯＣＨ２ＳＯ２－ 又はその塩（ホルムアルデヒドスルホキシレート）；－Ｎ（Ｒ１２）ＣＯＲ１２’（アミ ド）；Ｒ１２Ｒ１２’Ｒ１２’’ＮＰＯ３Ｈ（トリアルキルホスホルアミダート又はホス ホルアミジン酸）; 又はＡｒＡｒ’Ａｒ’’ＮＰＯ３Ｈ（トリアリールホスホニウム）； ＯＰ（Ｏ）（ＯＭ１）（ＯＭ２）、ＯＣＨ２ＯＰ（Ｏ）（ＯＭ１）（ＯＭ２）、ＯＳＯ３ Ｍ１；Ｏ－グリコシド（グルコシド、ガラクトシド、マンノシド、グルクロノシド、アロ シド、フルクトシド等）、ＮＨ－グリコシド、Ｓ－グリコシド、又はＣＨ２－グリコシド であり；Ｍ１及びＭ２は独立してＨ、Ｎａ、Ｋ、Ｃａ、Ｍｇ、ＮＨ４、ＮＲ１’Ｒ２’Ｒ ３’であり；Ｒ１’、Ｒ２’、及びＲ３’は、独立して、Ｈ、Ｃ１～Ｃ８アルキルであり ；Ａｒ、Ａｒ’、及びＡｒ’’は、Ｃ３～Ｃ８アリール又はヘテロ芳香族基であり； 図面 閉じる 1 2 3 5 6 7 9 10 11 12 ... 拡大および回転 図１ > 前頁 頁 / 121 頁を 表示 次頁,"特開2023-051977
（出願の）却下・拒絶 (出願の拒絶・却下)"
特開2023-51914,令和5年4月11日,網膜疾患を予防又は治療するための、有効成分としてＣＣＮ５を含む医薬組成物,特願2022-193755,令和4年12月2日,オリーブス  バイオセラピューティクス  インコーポレイテッド,"['', '']",網膜疾患を予防又は治療するための医薬組成物を提供すること。,ＣＣＮ５又はその断片を含む医薬組成物を提供する。また、ＣＣＮ５又はその断片と抗ＶＥＧＦ薬を含む医薬組成物を提供する。 【選択図】図６ｃ 請求の範囲 開く 詳細な説明 開く 図面 開く 配列表 開く 外国語明細書等 開く 図面 閉じる 代表図面 1a 1b 1c 1d 2a 2b 2c 2d 2e ... 拡大および回転 代表図面 >,"特開2023-051914
特許 有効 (登録公報の発行)"
特開2023-51723,令和5年4月11日,連合学習機構を利用した画像ＩｏＴプラットフォーム,特願2022-92036,令和4年6月7日,コニカ  ミノルタ  ビジネス  ソリューションズ  ユー．エス．エー．，  インコーポレイテッド,[''],エッジデバイス／サーバのデータプライバシーを保護しつつ、共通の機械学習（ＭＬ）モデルを継続的に改善することにより、堅牢な共通のＭＬモデルによるＦＬ（連合学習）機構を実現する方法を提供する。,方法は、ローカルデータを用いて画像解析を最適化し、共通のＭＬモデルを修正する、複数のエッジデバイスの各々に、共通のＭＬモデルを配布することと、ローカルに最適化されたＭＬモデルの収集やローカルデータへのアクセスを行わずに、複数のエッジデバイスの各々から最適化結果の主要パラメータを収集することと、より正確な画像解析のため共通のＭＬモデルを継続的に改善するために、主要パラメータを共通のＭＬモデルに所定のタイミングで反映させることにより、ストレージに格納された共通のＭＬモデルを更新することと、を繰り返し実行する。 【選択図】図７ 請求の範囲 開く 詳細な説明 開く 図面 開く 手続補正書 開く 外国語明細書等 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 拡大および回転 代表図面 >,"特開2023-051723
特許 有効 (登録公報の発行)"
特開2023-49911,令和5年4月10日,情報処理装置、情報処理システム、情報処理方法、及び情報処理プログラム,特願2021-159929,令和3年9月29日,野口工業株式会社,"['', '', '']",生産ラインのＩＯＴ化を容易に実現できる技術を提供する。,生産ラインの生産状態を報知する報知装置を撮像して得られる画像データと、予め記憶された設定情報であって、画像データを分析する設定情報と、を取得する取得部と、設定情報に基づいて画像データを分析し、報知装置の状態に対応する生産状態信号を生成するか否かを判定して生成する画像処理部と、生産状態信号が生成された場合、生成された生産状態信号を出力する出力部と、を備える。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,"特開2023-049911
審査中 (拒絶査定)"
特表2024-538488,令和6年10月23日,ファイアウォールにおけるＩｏＴセキュリティポリシ,特願2024-513714,令和4年9月28日,パロ  アルト  ネットワークス，インコーポレイテッド,"['', '']",抽出不可,抽出不可,"特表2024-538488
特許 有効 (登録公報の発行)"
特表2024-509156,令和6年2月29日,自律走行関連データ送受信システム及びその方法,特願2023-553397,令和4年6月28日,イファ  ネットワークス  カンパニー  リミテッド,[''],抽出不可,抽出不可,"特表2024-509156
特許 有効 (登録公報の発行)"
特表2024-541126,令和6年11月7日,ネットワーク内の機械緊急事態を検出して取り扱うためのシステムおよび方法,特願2023-520005,令和4年9月28日,ジェイアイオー・プラットフォームズ・リミテッド,"['', '', '', '']",抽出不可,抽出不可,"特表2024-541126
審査中 (審査請求)"
特表2024-536164,令和6年10月4日,サイドリンクコリジョンインジケータのＵＥ手順,特願2024-519374,令和4年9月5日,コーニンクレッカ  フィリップス  エヌ  ヴェ,"['', '', '', '', '', '']",抽出不可,抽出不可,"特表2024-536164
審査中 (手続補正)"
特表2024-536148,令和6年10月4日,抗微生物性化合物および使用法,特願2024-519317,令和4年9月30日,ミドル  テネシー  ステイト  ユニバーシティー,"['', '']",抽出不可,抽出不可,"特表2024-536148
審査請求前 (公開公報の発行)"
特表2024-535495,令和6年9月30日,キメラ抗原受容体免疫細胞およびその製造方法と使用,特願2024-520518,令和4年9月29日,グラセル  バイオテクノロジーズ（シャンハイ）カンパニー，リミテッド,"['', '', '', '']",抽出不可,抽出不可,"特表2024-535495
審査中 (期間延長請求の認容)"
特開2023-48150,令和5年4月6日,異なった形で切断可能なリンカーを有する標識プローブならびにＤＮＡおよびＲＮＡ分子の解読におけるそれらの使用,特願2022-152661,令和4年9月26日,ミルテニー  バイオテック  ベー．フェー．  ウント  コー．  カー・ゲー,"['', '', '', '', '', '']",ハイブリダイゼーション及び脱ハイブリダイゼーションラウンドの繰返しを最小限に抑えて標的ＤＮＡ及びＲＮＡ分子を解読するための迅速かつハイスループットのプロセスを提供する。,ａ）特定の構造と配列を有するプローブのライブラリー、及び切断可能なリンカー群を含み、ｂ）ハイブリダイズしていないプローブを除去すると共に、ハイブリダイズしたプローブをフルオロフォアによって第１の画像として検出し、ｃ）ハイブリダイズしたプローブからリンカー群を順次切断・除去すると共に、残りのハイブリダイズしたプローブを第２の画像として検出し、ｄ）第１及び第２の画像を比較して、除去されたフルオロフォアを検出する、そして、ｅ）除去されたフルオロフォアに関連するプローブの配列情報によって標的配列の配列情報の一部を得ること、ｆ）リンカーの全ての群が切断されるまで工程ｃ）を繰り返すこと、によって標的配列を検出する。 【選択図】なし 請求の範囲 開く 詳細な説明 開く 図面 開く 外国語明細書等 開く 図面 閉じる 1 2a 2b 2c 3 4 5 6 7 8 ... 拡大および回転 図１ >,"特開2023-048150
審査中 (手続補正)"
特許第7253016号,令和5年3月28日,ネットワーク中継装置、および接続経路選択方法,特願2021-156335,令和3年9月27日,エレコム株式会社,[''],通常は速度の速いＩＰｖ４ｏｖｅｒＩＰｖ６でＩＰｖ４インターネットに接続し、ＩＰｖ４ｏｖｅｒＩＰｖ６で障害の発生する通信端末装置からの通信はＰＰＰｏＥ接続でＩＰｖ４インターネットに接続することのできるネットワーク中継装置を提供する。,ＰＰＰｏＥサーバを介してＩＰｖ４インターネットに接続するＰＰＰｏＥ接続部と、ＩＰｖ４ｏｖｅｒＩＰｖ６トンネルを経由して第１のルータと接続し、第１のルータを介してＩＰｖ４インターネットに接続するＩＰｖ４ｏｖｅｒＩＰｖ６接続部と、ＩＰｖ４インターネットへの接続経路を決定する接続経路選択部と、を備え、接続経路選択部は、ＰＢＲ（Ｐｏｌｉｃｙ Ｂａｓｅｄ Ｒｏｕｔｉｎｇ）により接続経路を選択する。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 1 2 3 4 5 6 7 8 拡大および回転 図１ >,"特許7253016
特許 有効 (公開公報の発行)"
特開2023-47248,令和5年4月5日,錠システム,特願2021-172726,令和3年9月24日,ヨコトク株式会社,[''],大掛かりな精算装置（駐車場の出入口に設置された管理装置）を廃止して、ユーザーが所有するスマートフォンなどの携帯端末のみで、車両の一時預かり等々の開錠施錠に係るサービスを受けられるようにする。,この発明は駐車装置１と、複数台の駐車装置１を束ねて管理する島管理装置３と、ユーザーが所有するスマートフォン４と、精算装置としてのＷｅｂサービス５とから構成される。島管理装置３は通信部としてのＬＴＥ－Ｍ（登録商標）３０で、インターネットＮの閉域イーサネット網を介してクラウドのＷｅｂサービス５に接続される。スマートフォン４が出庫要求を出したＷｅｂサービス５は、ユーザー認証部５０でユーザー認証をして、ユーザーの課金口座に課金すると共に、島管理装置３の開錠部３１に駐車ラック２を開錠するように指令を出す。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,"特開2023-047248
（出願の）却下・拒絶 (出願のみなし取下げ)"
特開2023-46400,令和5年4月4日,組織からｍ－ＲＮＡの空間情報およびシークエンシング情報を取得する方法,特願2022-151013,令和4年9月22日,ミルテニー  バイオテック  ベー．フェー．  ウント  コー．  カー・ゲー,"['', '', '', '']",ＤＮＡバーコードの生成およびデコーディングを同時に行う、組織のｍ－ＲＮＡ分子のシークエンシングおよび空間デコーディングのための方法を提供する。,組織試料上のｍ－ＲＮＡ標的配列の空間位置および配列情報を取得する方法であって、以下の工程 ａ．少なくとも１つの基準マーカーを少なくとも有する固体表面を準備する工程 ｂ．光切断可能なリンカーおよびアダプター単位を含む複数のアンカー分子を前記固体表面に結合させる工程 ｃ．アンカー分子のアダプター単位に結合することが可能な単位、５～３０個のイノシン塩基を有するポリイノシン単位、および１０～５０個のアデニン塩基を有するポリアデニン単位を含む足場分子を前記アンカー分子に結合する工程 を含んでよい、方法である。 【選択図】なし 請求の範囲 開く 詳細な説明 開く 図面 開く 外国語明細書等 開く 図面 閉じる 1 2 拡大および回転 図１ >,"特開2023-046400
審査中 (手続補正)"
特表2024-535943,令和6年10月2日,細胞性または分子性の被分析物の検出のための革新的なバイオテクノロジーシステム,特願2024-541290,令和4年9月21日,ウニベルシタ  デッリ  ストゥディ  ディ  メッシーナ,"['', '', '', '', '', '', '', '']",抽出不可,抽出不可,"特表2024-535943
審査中 (手続補正)"
特表2024-531580,令和6年8月29日,背面金属層を有する集積デバイスを備えるパッケージ,特願2024-514544,令和4年8月23日,クアルコム，インコーポレイテッド,"['', '', '']",抽出不可,抽出不可,"特表2024-531580
審査中 (手続補正)"
特開2023-43895,令和5年3月30日,無線通信装置、電池の残容量の検知方法及びプログラム,特願2020-37139,令和2年3月4日,アルプスアルパイン株式会社,[''],電池の残容量を温度等を測定することなく正確に測定することのできる無線通信装置を提供する。,電池と、前記電池の電力により動作する制御部と、前記電池の電力により動作し、無線信号を発生させる通信部と、前記電池の電圧を測定する電圧測定部と、を有し、前記電圧測定部は、前記制御部が起動している状態の前記電池の第１の電圧と、前記制御部及び前記通信部が起動している状態の前記電池の第２の電圧を測定し、前記制御部は、前記第１の電圧と前記第２の電圧とに基づき、前記電池の開放端電圧ＯＣＶを算出し、当該算出された前記開放端電圧ＯＣＶに基づき前記電池の残容量が少なくなったか否かを判断することを特徴とする無線通信装置により上記課題を解決する。 【選択図】 図２ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,"特開2023-043895
（出願の）却下・拒絶 (出願のみなし取下げ)"
特許第7245481号,令和5年3月15日,機器管理システム、モバイル端末およびプログラム,特願2022-148807,令和4年9月20日,Ｍａｔｔ＆Ｍａｓｓｉｍｏ合同会社,"['', '']",施設内に配置された複数の機器を操作するためのグラフィカルユーザインタフェースの操作性を向上させる。,モバイル端末は、施設内に配置された複数の機器の各々を操作するための複数のグラフィカルユーザインタフェースをタッチパネルディスプレイに表示可能である。モバイル端末は、位置情報発信装置から受信した位置情報に基づいて、施設内におけるモバイル端末の位置を特定する。モバイル端末は、タッチパネルディスプレイに表示されるグラフィカルユーザインタフェースを、位置情報に基づいて特定されるモバイル端末の位置に関連付けられた機器を操作するためのグラフィカルユーザインタフェースに限定する。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 1 2 3 4 5 6 7 8 9 10 ... 拡大および回転 図１ >,"特許7245481
特許 有効 (公開公報の発行)"
特表2024-536768,令和6年10月8日,操作された抗微生物ペプチドおよびその使用,特願2024-516799,令和4年9月16日,ぺプチロジックス，インク．,"['', '', '']",抽出不可,抽出不可,"特表2024-536768
審査中 (手続補正)"
特表2024-535830,令和6年10月2日,接着剤分注制御,特願2024-516580,令和3年9月15日,スリーエム  イノベイティブ  プロパティズ  カンパニー,"['', '', '', '', '', '']",抽出不可,抽出不可,"特表2024-535830
審査中 (拒絶理由通知)"
特表2024-535804,令和6年10月2日,置換された１，４－ジヒドロ－１，６－ナフチミダミド及びその使用,特願2024-515911,令和4年9月16日,上海拓界生物医薬科技有限公司,"['', '', '', '', '', '']",抽出不可,抽出不可,"特表2024-535804
審査中 (審査請求)"
特表2024-535257,令和6年9月30日,慣性測定ユニットを使用した位置認識,特願2024-516759,令和3年9月17日,エイチアイディ  グローバル  コーポレイション,"['', '']",抽出不可,抽出不可,"特表2024-535257
審査中 (手続補正)"
特表2024-534424,令和6年9月20日,ボツリヌス神経毒素代替新規素材およびその製造方法,特願2024-516818,令和4年8月24日,イントロン  バイオテクノロジー，インコーポレイテッド,"['', '', '', '', '', '']",抽出不可,抽出不可,"特表2024-534424
審査中 (特許査定)"
特表2024-533862,令和6年9月12日,予測保守のための産業用プロセスを監視するための監視モジュールおよびシステム,特願2024-539910,令和4年9月9日,オルターナティブ  エナジー  イノベーションズ，エセ．エレ．,"['', '', '', '']",抽出不可,抽出不可,"特表2024-533862
審査中 (審査請求)"
特表2024-533131,令和6年9月12日,高密度相互接続子を有する基板を備えるパッケージ,特願2024-513794,令和4年8月5日,クアルコム，インコーポレイテッド,"['', '', '', '']",抽出不可,抽出不可,"特表2024-533131
審査中 (手続補正)"
特開2023-40077,令和5年3月22日,Ｔ制御性細胞の増殖または枯渇方法,特願2022-207092,令和4年12月23日,ザ  ジェネラル  ホスピタル  コーポレイション,[''],T制御性細胞(Treg)が濃縮された組成物を調製する方法、およびこれらの組成物を用いて免疫学的疾患を治療するための方法を提供する。,CD4+CD25hiT制御性細胞(Treg)が濃縮された組成物を調製するための方法であって、in vitroで、患者由来のヒト血液または骨髄サンプルから得られたTリンパ球を含むヒト細胞の集団を、腫瘍壊死因子受容体2(TNFR2)アゴニストまたはNF-κB活性化剤と接触させ、それによってTregが濃縮された該組成物を調製することを含んでなり、その際、該Tregが該組成物中の細胞の少なくとも60％を構成する、方法とする。 【選択図】なし 請求の範囲 開く 詳細な説明 開く 図面 開く 手続補正書 開く 図面 閉じる 1A 1B 1C 2A 2B 2C 2D 3A 3B 3C ... 拡大および回転 図１Ａ >,"特開2023-040077
（出願の）却下・拒絶 (出願の拒絶・却下)"
特表2024-527057,令和6年7月19日,ケトアミド誘導体およびその用途,特願2024-505012,令和4年9月5日,広東衆生睿創生物科技有限公司,"['', '', '', '', '', '', '']",抽出不可,抽出不可,"特表2024-527057
特許 有効 (登録公報の発行)"
特表2024-531991,令和6年9月3日,手術部位での出血を制御し、組織を封止するための、止血薬粉末送達及び液体送達複合デバイス,特願2024-515416,令和3年9月10日,コウシュウ・バイオシール・バイオテック・カンパニー・リミテッド,"['', '', '', '', '']",抽出不可,抽出不可,"特表2024-531991
特許 有効 (登録公報の発行)"
特表2024-536743,令和6年10月8日,バッテリー中心の仮想情報網システム,特願2024-515611,令和4年9月10日,ランド  エナジー，インコーポレイテッド,"['', '', '', '', '']",抽出不可,抽出不可,"特表2024-536743
審査中 (審査請求)"
特表2024-536664,令和6年10月8日,植込み型医療デバイス及び通信方法,特願2023-578694,令和4年8月19日,バイオトロニック  エスエー  アンド  カンパニー  カーゲー,"['', '', '']",抽出不可,抽出不可,"特表2024-536664
審査中 (手続補正)"
特表2024-535220,令和6年9月30日,調整可能なサイズ選択を使用して細胞試料からゲノムＤＮＡを抽出するためのデバイス、方法、およびシステム,特願2024-515563,令和4年9月9日,インソ  バイオサイエンシーズ  インコーポレイテッド,"['', '', '']",抽出不可,抽出不可,"特表2024-535220
審査中 (手続補正)"
特表2024-534981,令和6年9月26日,誘導ナチュラルキラー細胞の製造方法及びその使用,特願2024-515518,令和4年9月8日,コリア  リサーチ  インスティテュート  オブ  バイオサイエンス  アンド  バイオテクノロジー,"['', '', '', '']",抽出不可,抽出不可,"特表2024-534981
審査中 (審査請求)"
特表2024-534742,令和6年9月26日,リードレス・ペースメーカ通信システムのための患者装置,特願2023-578830,令和4年8月22日,バイオトロニック  エスエー  アンド  カンパニー  カーゲー,"['', '']",抽出不可,抽出不可,"特表2024-534742
審査中 (手続補正)"
特表2024-533959,令和6年9月18日,医療デバイスを埋め込むための送達システム,特願2024-505628,令和4年9月2日,バイオトロニック  エスエー  アンド  カンパニー  カーゲー,"['', '', '', '']",抽出不可,抽出不可,"特表2024-533959
審査中 (手続補正)"
特表2024-533462,令和6年9月12日,肥満細胞腫の処置におけるテルペノイドの使用,特願2024-515895,令和4年9月13日,アージル・バイオテック・ホールディング・カンパニー・リミテッド,"['', '', '', '']",抽出不可,抽出不可,"特表2024-533462
審査中 (手続補正)"
特表2024-533078,令和6年9月12日,ユーザ電気信号に基づくオーディオ調整,特願2024-513226,令和4年6月28日,クゥアルコム・インコーポレイテッド,"['', '', '']",抽出不可,抽出不可,"特表2024-533078
審査中 (手続補正)"
特表2024-532738,令和6年9月10日,網膜変性症の治療方法,特願2024-507903,令和4年8月24日,珠海岐微生物科技有限公司,[''],抽出不可,抽出不可,"特表2024-532738
審査中 (審査請求)"
特表2024-532670,令和6年9月10日,眼疾患モデルの構築方法とその使用,特願2024-504252,令和4年8月24日,珠海岐微生物科技有限公司,[''],抽出不可,抽出不可,"特表2024-532670
審査中 (手続補正)"
特表2024-532471,令和6年9月5日,突出部を含むパッド相互接続子を有する基板を備えたパッケージ,特願2024-513829,令和4年7月15日,クゥアルコム・インコーポレイテッド,"['', '', '']",抽出不可,抽出不可,"特表2024-532471
（出願の）却下・拒絶 (出願のみなし取下げ)"
特表2024-531685,令和6年8月29日,神経障害の処置,特願2024-515840,令和4年8月31日,ジーエムピー・バイオテクノロジー・リミテッド,[''],抽出不可,抽出不可,"特表2024-531685
審査中 (手続補正)"
特表2024-531534,令和6年8月29日,上部コンタクトを有する金属－絶縁体－金属キャパシタ,特願2024-513832,令和4年7月29日,クゥアルコム・インコーポレイテッド,"['', '', '']",抽出不可,抽出不可,"特表2024-531534
審査中 (手続補正)"
特表2024-531533,令和6年8月29日,高密度相互接続部を有する基板を含むパッケージ,特願2024-513828,令和4年7月1日,クゥアルコム・インコーポレイテッド,"['', '', '']",抽出不可,抽出不可,"特表2024-531533
（出願の）却下・拒絶 (出願のみなし取下げ)"
特開2023-37659,令和5年3月16日,セキュリティの強化法とネットサービスビジネスモデルに関する特許,特願2021-144367,令和3年9月4日,大谷  広海,[''],第４次産業革命に向けたセキュリティの強化とサービスの拡充創案,本発明は、セキュリティの強化法とネットサービスビジネスモデルに関する発明である。現在、第三次産業革命と呼ばれたＩＴ革命が進展し様々なサービスが開発されている。そこでは、インターネットを用いた様々なものが仮想化され現実とサイバー空間の境目が不明瞭となりつつある。そこで、第３次産業革命において有望でありそうなビジネスモデル特許は第４次においても非常に有望であるという結論に達した。この意味初期付与ゲーデル数圧縮アプリケーションなどのセキュリティの強化とネットサービスビジネスモデルの創案を本特許の基礎請求部分とする。 【選択図】なし 請求の範囲 開く 詳細な説明 開く,"特開2023-037659
（出願の）却下・拒絶 (出願の拒絶・却下)"
特許第7239952号,令和5年3月7日,食品廃棄物を利用したメタン資源化マッチングシステム,特願2022-534343,令和4年6月7日,株式会社ティービーエム,[''],抽出不可,抽出不可,"特許7239952
特許 有効 (登録公報の発行)"
